modulo,operacion,subtema,tema_soporte,ley
1862,SOPORTE GENERAL,651,383,LEY 1862
1862,BORRADO DE DOCUMENTOS,650,383,LEY 1862
1862,BORRAR ETAPAS,649,383,LEY 1862
1862,BORRAR FUNCIONARIO INST,648,383,LEY 1862
1862,BORRAR FUNCIONARIO COMP,647,383,LEY 1862
1862,CAMBIO RADICADO,646,383,LEY 1862
1862,CAMBIO UNIDAD,645,383,LEY 1862
1862,BORRADO INFRACTOR,644,383,LEY 1862
1862,BORRADO COMPLETO,643,383,LEY 1862
1862,NINGUNA DE LAS ANTERIORES,640,383,LEY 1862
836,SOPORTE GENERAL,670,384,LEY 836
836,FALLOS,669,384,LEY 836
836,CAMBIO UNIDAD,666,384,LEY 836
836,BORRADO DE DOCUMENTOS,665,384,LEY 836
836,BORRADO ACTUACIONES,664,384,LEY 836
836,ANOTACIONES,663,384,LEY 836
836,BORRADO INFRACTOR,662,384,LEY 836
836,BORRADO COMPLETO,661,384,LEY 836
836,DECISIONES,668,384,LEY 836
836,NOTIFICACIONES,667,384,LEY 836
1476,NINGUNA DE LAS ANTERIORES,641,385,LEY 1476
1476,BORRADO COMPLETO,652,385,LEY 1476
1476,SOPORTE GENERAL,660,385,LEY 1476
1476,BORRADO INFRACTOR,653,385,LEY 1476
1476,CAMBIO UNIDAD,654,385,LEY 1476
1476,CAMBIO RADICADO,655,385,LEY 1476
1476,EDITAR ACTORES,656,385,LEY 1476
1476,BORRAR ETAPAS,658,385,LEY 1476
1476,BORRADO DOCUMENTOS,659,385,LEY 1476
1476,NINGUNA ANTERIOR Q,642,385,LEY 1476
